books,authors,movies,released_year,imdb_links
"Miss Lonelyhearts (1933),", Nathanael West,Lonelyhearts,1958,https://www.allmovie.com/movie/v29909
"Miss Lonelyhearts (1933),", Nathanael West,Miss Lonelyhearts,1983,https://fadedpage.com/showbook.php?pid=20190436
"Moby-Dick (1851),", Herman Melville,The Sea Beast,1926,https://www.imdb.com/title/tt0017354/
"Moby-Dick (1851),", Herman Melville,Moby Dick,1956,https://librivox.org/search?title=Moby+Dick&author=Melville&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"Moby-Dick (1851),", Herman Melville,Tom and Jerry in: Dicky Moe,1962,
"Moby-Dick (1851),", Herman Melville,Dot and the Whale,1986,https://www.imdb.com/title/tt0090961/
"Moby-Dick (1851),", Herman Melville,Capitaine Achab,2004,https://www.imdb.com/title/tt0398831/
"Moby-Dick (1851),", Herman Melville,Age of the Dragons,2011,https://www.imdb.com/title/tt1594917/
"Moderato Cantabile (1958),", Marguerite Duras,Seven Days... Seven Nights,1960,https://www.imdb.com/title/tt0054091/
"The Molly Maguires (1969),", Arthur H. Lewis,The Molly Maguires,1970,https://www.imdb.com/title/tt0066090/
"Monkey in the Middle (1973),", Robert Syd Hopkins (as Robert Rostand),The Killer Elite,1975,https://catalog.afi.com/Catalog/moviedetails/67791
"The Monster from Earth's End (1959),", Murray Leinster,The Navy vs. the Night Monsters,1966,https://www.imdb.com/title/tt0060741/
"Montana Rides Again (1934),", Max Brand,Branded,1950,
"The Moon and Sixpence (1919),", W. Somerset Maugham,The Moon and Sixpence,1942,https://standardebooks.org/ebooks/w-somerset-maugham/the-moon-and-sixpence
"Moonraker (1955),", Ian Fleming,Moonraker,1979,
"The Moon-Spinners (1962),", Mary Stewart,The Moon-Spinners,1964,https://www.tcm.com/tcmdb/title/83937/enwp
"The Moonstone (1868),", Wilkie Collins,The Moonstone,1934,https://openlibrary.org/works/OL176092W/The_moonstone
"Morpho Eugenia (1992),", A. S. Byatt,Angels & Insects,1996,https://www.imdb.com/title/tt0112365/
The Mortal Instruments (2007–2013) (series), Cassandra Clare,The Mortal Instruments: City of Bones,2013,https://www.imdb.com/title/tt1538403/
"Le Morte d'Arthur (The Death of Arthur) (1485),", Sir Thomas Malory,Excalibur,1981,
"The Mosquito Coast (1981),", Paul Theroux,The Mosquito Coast,1986,https://www.imdb.com/title/tt0091557/
"Mother Carey's Chickens (1911),", Kate Douglas Wiggin,Mother Carey's Chickens,1938,
"Mother Carey's Chickens (1911),", Kate Douglas Wiggin,Summer Magic,1963,https://www.imdb.com/title/tt00057542/
"Mother Night (1961),", Kurt Vonnegut,Mother Night,1996,http://www.isfdb.org/cgi-bin/title.cgi?14207
"A Mother's Gift (2001),", Britney Spears and Lynne Spears,Brave New Girl,2004,/wiki/Brave_New_Girl_(film)
"The Moving Target (1949),", Ross Macdonald (as John Macdonald),Harper,1966,
"Mr. Hobbs' Vacation (1954),", Edward Streeter,Mr. Hobbs Takes a Vacation,1962,https://www.imdb.com/title/tt0056255/
"Mr. Limpet (1942),", Theodore Pratt,The Incredible Mr. Limpet,1964,https://www.imdb.com/title/tt0058230/
"Mr. Winkle Goes to War (1943),", Theodore Pratt,Mr. Winkle Goes to War,1944,https://www.imdb.com/title/tt0037095/
"Mrs. Frisby and the Rats of NIMH (1971),", Robert C. O'Brien,The Secret of NIMH,1982,https://en.wikiquote.org/wiki/Special:Search/The_Secret_of_NIMH
"Mrs. Frisby and the Rats of NIMH (1971),", Robert C. O'Brien,The Secret of NIMH 2: Timmy to the Rescue,1999,https://www.imdb.com/title/tt0171725/
"Mrs McGinty's Dead (1952),", Agatha Christie,Murder Most Foul,1964,
"Mud on the Stars' (1942),", William Bradford Huie,Wild River,1960,
"A Mule for the Marquesa (1964),", Frank O'Rourke,The Professionals,1966,
"Murder in Amityville (1979),", Hans Holzer,Amityville II: The Possession,1982,https://www.imdb.com/title/tt0083550/
"Murder on the Orient Express (1934),", Agatha Christie,Murder on the Orient Express,1974,http://www.agathachristie.com/christies-work/stories/murder-on-the-orient-express/43
"Murphy’s Romance: A Novel (1980),", Max Schott,Murphy's Romance,1985,https://www.imdb.com/title/tt0089643/
"Mute Witness (1963),", Robert L. Pike (as Robert L. Fish),Bullitt,1968,https://catalog.afi.com/Catalog/moviedetails/23455
"My Ántonia (1918),", Willa Cather,My Antonia,1995,
"My Philadelphia Father (1955),"," Anthony Joseph Drexel Biddle, Sr. (as Cordelia Drexel Biddle)",The Happiest Millionaire,1967,https://www.imdb.com/title/tt0061749/
"My Friend Flicka (1941),", Mary O'Hara,My Friend Flicka,1943,/wiki/My_Friend_Flicka_(film)
"My Friend Flicka (1941),", Mary O'Hara,Thunderhead,,
"My Friend Flicka (1941),", Mary O'Hara,Son of Flicka,1945,
"My Friend Flicka (1941),", Mary O'Hara,Green Grass of Wyoming,1948,https://www.imdb.com/title/tt0040402/
"My Friend Flicka (1941),", Mary O'Hara,Flicka,2006,https://www.imdb.com/title/tt0434215/
"My Friend Flicka (1941),", Mary O'Hara,Flicka 2,2010,https://www.allmovie.com/movie/v516137
"My Kingdom for a Woman (1952),", Ismet Regeila,Abdulla the Great,1955,https://www.imdb.com/title/tt0048922/
"My Reminiscences as a Cowboy (1930),", Frank Harris,Cowboy,1968,
"The Mystery of Edwin Drood (unfinished) (1870),", Charles Dickens,The Mystery of Edwin Drood,1909,/wiki/The_Mystery_of_Edwin_Drood_(1993_film)
"The Mysterious Island (The Mysterious Island) (1874),", Jules Verne,000 Leagues Under the Sea,1916,
"The Mysterious Island (The Mysterious Island) (1874),", Jules Verne,The Mysterious Island,1929,https://www.gutenberg.org/ebooks/8993
"The Mysterious Island (The Mysterious Island) (1874),", Jules Verne,Mysterious Island,1941,/wiki/Mysterious_Island_(TV_series)
"The Mysterious Island (The Mysterious Island) (1874),", Jules Verne,Journey 2: The Mysterious Island,2012,https://www.imdb.com/title/tt1397514/
"Mystic River (2001),", Dennis Lehane,Mystic River,2003,/wiki/Mystic_River_Reservation
"The Name of the Rose (1980),", Umberto Eco,The Name of the Rose,1986,/wiki/The_Name_of_the_Rose_(film)
"The Naked and the Dead (1948),", Norman Mailer,The Naked and the Dead,1958,/wiki/The_Naked_and_the_Dead_(film)
"The Naked Country (1960),", Morris West (as ),The Naked Country,1985,https://www.imdb.com/title/tt0087776/
"The Naked Face (1970),", Sidney Sheldon,The Naked Face,1984,
"Naked Lunch (1959),", William S. Burroughs,Naked Lunch,1991,https://archive.org/details/isbn_9780802132956
"The Nanny (1987),", Dan Greenburg,The Guardian,1990,/wiki/Category:The_Guardian
"The Nanny Diaries (2002),", Emma McLaughlin and Nicola Kraus,The Nanny Diaries,2007,
"The Natural (1952),", Bernard Malamud,The Natural,1984,
"National Velvet (1935),", Enid Bagnold,National Velvet,1944,
"National Velvet (1935),", Enid Bagnold,International Velvet,1978,
"Nest in a Fallen Tree (1967),", Joy Cowley,The Night Digger,1971,https://www.imdb.com/title/tt0067486/
"The Net (1912),", Rex Beach,Fair Lady,1922,
"Nevada (1928),", Zane Grey,Nevada,1927,https://curlie.org/Regional/North_America/United_States/Nevada
"Never Cry Wolf (1963),", Farley Mowat,Never Cry Wolf,1983,
"The Neverending Story (1979),", Michael Ende,The NeverEnding Story,1984,/wiki/The_NeverEnding_Story_(film)
"The Neverending Story (1979),", Michael Ende,The NeverEnding Story II: The Next Chapter,1990,https://www.imdb.com/title/tt0100240/
"The Neverending Story (1979),", Michael Ende,The NeverEnding Story III,1994,https://www.imdb.com/title/tt0110647/
"Nicholas Nickleby (1838–1839) (serial),",", Charles Dickens",Nicholas Nickleby,1903,https://archive.org/stream/lifeandadventure00dickuoft#page/n5/mode/2up
"Nicholas Nickleby (1838–1839) (serial),",", Charles Dickens",The Life and Adventures of Nicholas Nickleby,2001,/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(1947_film)
"The Nick Adams Stories (1972),", Ernest Hemingway,Hemingway's Adventures of a Young Man,1962,https://www.imdb.com/title/tt0056063/
"Night and the City (1938),", Gerald Kersh,Night and the City,1950,https://catalog.afi.com/Catalog/moviedetails/27713
"Night Has a Thousand Eyes (1945),", Cornell Woolrich (as George Hopley),Night Has a Thousand Eyes,1948,https://archive.org/download/ScreenDirectorsPlayhouse/SDP_49-02-27_ep008-The_Night_Has_a_Thousand_Eyes.mp3
"The Night of the Generals (1963),", Hans Hellmut Kirst,The Night of the Generals,1967,https://www.bfi.org.uk/films-tv-people/4ce2b6b185464
"The Night of the Hunter (1953),", Davis Grubb,The Night of the Hunter,1955,
"The Night of the Iguana (1961) (play),", Tennessee Williams,The Night of the Iguana,1964,
"Night Shift (1942),", Maritta Wolff,The Man I Love,1947,
"Night Watch (1998),", Sergey Lukyanenko,Night Watch,2004,
"Night Watch (1998),", Sergey Lukyanenko,Day Watch,2006,
"Nightmare (1942) (a.k.a. And So to Death),", Cornell Woolrich (as William Irish),Fear in the Night,1947,
"Nightmare (1942) (a.k.a. And So to Death),", Cornell Woolrich (as William Irish),Nightmare,1956,
"Nightmare Alley (1946),", William Lindsay Gresham,Nightmare Alley,1947,
"Nights in Rodanthe (2002),", Nicholas Sparks,Nights in Rodanthe,2008,https://www.imdb.com/title/tt0956038/
"Nightwing (1977),", Martin Cruz Smith,Nightwing,1979,
"Nine and a Half Weeks: A Memoir of a Love Affair (1978),", Elizabeth McNeill,9½ Weeks,1986,
"Nine and a Half Weeks: A Memoir of a Love Affair (1978),", Elizabeth McNeill,Another 9½ Weeks,1997,
"Nine and a Half Weeks: A Memoir of a Love Affair (1978),", Elizabeth McNeill,The First 9½ Weeks,1998,
"Nineteen Eighty-Four (1949),", George Orwell,Nineteen Eighty-Four,1953,/wiki/Nineteen_Eighty-Four_(1984_film)
"The Ninth Configuration (1978),", William Peter Blatty,The Ninth Configuration,1980,https://www.imdb.com/title/tt0081237/
"No Country for Old Men (2005),", Cormac McCarthy,No Country for Old Men,2007,https://books.google.com/books?id=Q8zM_BuvaroC
"No Down Payment (1957),", John McPartland,No Down Payment,1957,https://www.imdb.com/title/tt0050771/
"No Orchids for Miss Blandish (1939),", James Hadley Chase,No Orchids for Miss Blandish,1948,
"No Orchids for Miss Blandish (1939),", James Hadley Chase,The Grissom Gang,1971,https://www.imdb.com/title/tt0067162/
"No Orchids for Miss Blandish (1939),", James Hadley Chase,La Chair de l'orchidée,1975,https://www.imdb.com/title/tt0071297/
"Nobody Loves a Drunken Indian (1967),", Clair Huffaker,The Last Warrior,1970,
"Northern Lights (1995),", Philip Pullman,The Golden Compass,2007,https://www.imdb.com/title/tt0385752/
"Northwest Passage (1937),", Kenneth Roberts,Northwest Passage,1940,
"Nostromo (1904),", Joseph Conrad,Nostromo,1996,https://standardebooks.org/ebooks/joseph-conrad/nostromo
"The Notebook (1996),", Nicholas Sparks,The Notebook,2004,https://www.imdb.com/title/tt0332280/
"Nothing Lasts Forever (1979),", Roderick Thorp,Die Hard,1988,https://www.boxofficemojo.com/movies/?id=diehard.htm
Nurse Matilda (1964–1974) (series), Christianna Brand,Nanny McPhee,2005,https://www.imdb.com/title/tt0396752/
Nurse Matilda (1964–1974) (series), Christianna Brand,Nanny McPhee and the Big Bang,2010,https://www.imdb.com/title/tt1415283/
"Odd Man Out (1945),", F. L. Green,Odd Man Out,1947,https://www.imdb.com/title/tt0039677/
"Odds Against Tomorrow (1958),", William P. McGivern,Odds Against Tomorrow,1959,https://www.imdb.com/title/tt0053133/
"Odyssey (8th century BC),", Homer,Ulysses,1955,
"Odyssey (8th century BC),", Homer,The Odyssey,1987,/wiki/The_Odyssey_(miniseries)
"Odyssey (8th century BC),", Homer,translit. To Vlemma tou Odyssea),,
"Odyssey (8th century BC),", Homer,O Brother,,
"Odyssey (8th century BC),", Homer,Where Art Thou?,2000,
"Odyssey (8th century BC),", Homer,Odysseus and the Isle of the Mists,2007,https://www.imdb.com/title/tt0945580/
"Audition (1997),", Ryu Murakami,Audition,1999,
"Of Human Bondage (1915),", W. Somerset Maugham,Of Human Bondage,1934,/wiki/Of_Human_Bondage_(1934_film)
"Of Mice and Men (1937),", John Steinbeck,Of Mice and Men,1939,/wiki/Of_Mice_and_Men_(1939_film)
"Oil! (1927),", Upton Sinclair,There Will Be Blood,2007,https://www.imdb.com/title/tt0469494/
The Old Curiosity Shop (1840–1841) (serial) (1841) (novel),", Charles Dickens",The Old Curiosity Shop,1911,/wiki/The_Old_Curiosity_Shop_(1914_film)
"The Old Man and the Sea (1951) (written),", Ernest Hemingway,The Old Man and the Sea,1958,https://fadedpage.com/showbook.php?pid=20141070
"Old Yeller (1956),", Fred Gipson,Old Yeller,1957,
"Old Yeller (1956),", Fred Gipson,Savage Sam,1963,
"Oliver Twist (1837–1839),", Charles Dickens,Oliver Twist,1909,/wiki/Oliver_Twist_(character)
"Oliver Twist (1837–1839),", Charles Dickens,Oliver!,1968,/wiki/Oliver!_(song)
"Oliver Twist (1837–1839),", Charles Dickens,Oliver & Company,1988,https://www.imdb.com/title/tt0095776/
"Oliver Twist (1837–1839),", Charles Dickens,Twist,2003,
"Oliver Twist (1837–1839),", Charles Dickens,Boy called Twist,2004,https://www.imdb.com/title/tt0461472/
"Oms en série (Oms by the Dozen) (1957),", Stefan Wul,Fantastic Planet,1973,https://www.imdb.com/title/tt0070544/
"On Her Majesty's Secret Service (1963),", Ian Fleming,On Her Majesty's Secret Service,1969,
"On Stranger Tides (1987),", Tim Powers,Pirates of the Caribbean: On Stranger Tides,2011,https://www.imdb.com/title/tt1298650/
"One Flew Over the Cuckoo's Nest (1962),", Ken Kesey,One Flew Over the Cuckoo's Nest,1975,
"One for the Money (1994),", Janet Evanovich,One for the Money,2011,
"One More Spring (1933),", Robert Nathan,One More Spring,1935,https://www.imdb.com/title/tt0026822/
"One Thousand and One Nights (12th century),", various Indian storytellers,Le Palais des Mille et une nuits,1905,
"One Thousand and One Nights (12th century),", various Indian storytellers,The Thief of Bagdad,1924,
"One Thousand and One Nights (12th century),", various Indian storytellers,1001 Arabian Nights,1959,/wiki/1001_Arabian_Nights_(1959_film)
"One Thousand and One Nights (12th century),", various Indian storytellers,Scooby-Doo in Arabian Nights,1994,
"The Onion Field (1973),", Joseph Wambaugh,The Onion Field,1979,
"The Open Range Men (1990),", Lauran Paine,Open Range,2003,
"Operation Terror (1961),", Gordon Gordon and Mildred Gordon,Experiment in Terror,1962,https://www.imdb.com/title/tt0055972/
"Ordinary People (1976),", Judith Guest,Ordinary People,1980,https://www.allmovie.com/movie/v36600
"Orlando: A Biography (1928),", Virginia Woolf,Orlando,1992,
"The Osterman Weekend (1972),", Robert Ludlum,The Osterman Weekend,1983,
"The Other Boleyn Girl (2001),", Philippa Gregory,The Other Boleyn Girl,2003,/wiki/The_Other_Boleyn_Girl_(2003_film)
"The Other One (1955),", Catherine Turney,Back from the Dead,1957,
"The Other Side of Midnight (1973),", Sidney Sheldon,The Other Side of Midnight,1977,/wiki/The_Other_Side_of_Midnight_(film)
"Our Girl Friday (1951),", Ernest K. Gann,Our Girl Friday,1953,https://www.tcm.com/tcmdb/title/19145/enwp
"Our Man in Havana (1958),", Graham Greene,Our Man in Havana,1959,/wiki/Our_Man_in_Havana_(film)
"Out of Sight (1996),", Elmore Leonard,Out of Sight,1998,https://www.imdb.com/title/tt0120780/
"An Outcast of the Islands (1896),", Joseph Conrad,An Outcast of the Islands,1952,https://www.gutenberg.org/ebooks/638
"The Outsiders (1967),", S. E. Hinton,The Outsiders,1983,
"Over the River (1933),", John Galsworthy,One More River,1934,https://www.imdb.com/title/tt0025600/
"The Ox-Bow Incident (1940),", Walter Van Tilburg Clark,The Ox-Bow Incident,1943,https://www.imdb.com/title/tt0036244/
"A Painted Devil (1966),", Thomas P. Cullinan,The Beguiled,1971,
"A Painted House (2001),", John Grisham,A Painted House,2003,https://www.imdb.com/title/tt0362001/
"The Painted Veil (1925),", W. Somerset Maugham,The Painted Veil,1934,
"The Painted Veil (1925),", W. Somerset Maugham,The Seventh Sin,1957,https://www.imdb.com/title/tt0050954/
"Pan Wolodyjowski (Fire in the Steppe) (1888),", Henryk Sienkiewicz,Colonel Wolodyjowski,1968,/wiki/Colonel_Wolodyjowski_(film)
"Parineeta (1914),", Sharat Chandra Chattopadhyay,Parineeta,1942,
"Paris Blues (1957),", Harold Flender,Paris Blues,1961,https://www.imdb.com/title/tt0055278/
"Les Particules Élémentaires (1998) (a.k.a. Atomised),", Michel Houellebecq,The Elementary Particles,2006,
"Pasó por aquí (Once in the Saddle) (1947),", Eugene Manlove Rhodes,Four Faces West,1948,https://www.imdb.com/title/tt0040370/
"A Passage to India (1924),", E. M. Forster,A Passage to India,1984,http://www.bl.uk/works/a-passage-to-india
"Patriot Games (1987),", Tom Clancy,Patriot Games,1992,/wiki/Patriot_Games_(film)
"The Peacock Spring (1975),", Rumer Godden,The Peacock Spring,1996,
"The Pelican Brief (1992),", John Grisham,The Pelican Brief,1993,http://www.jgrisham.com/the-pelican-brief/
"The Penal Colony (1987),", Richard Herley,No Escape,1994,
Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan,Percy Jackson & the Olympians: The Lightning Thief,2010,https://www.imdb.com/title/tt0814255/
Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan,Percy Jackson & the Olympians: The Sea of Monsters,2013,
"Perfect Little Angels (1989),", Andrew Neiderman,Perfect Little Angels,1998,
"Pet Sematary (1983),", Stephen King,Pet Sematary,1989,http://www.isfdb.org/cgi-bin/title.cgi?1396
"Pet Sematary (1983),", Stephen King,Pet Sematary Two,1992,https://www.imdb.com/title/tt0105128/
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Peter Pan,1924,https://www.gutenberg.org/ebooks/16
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Return to Never Land,2002,https://www.imdb.com/title/tt0280030/
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",The Lost Boys,1978,https://www.imdb.com/title/tt0093437/
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Hook,1991,
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Neverland,2003,/wiki/Neverland_(film)
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Finding Neverland,2004,
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Tinker Bell,2008,/wiki/Tinker_Bell_(film)
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Tinker Bell and the Lost Treasure,2009,https://www.allmovie.com/movie/v485125
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)Peter and Wendy (1911) (novel)",", J. M. Barrie",Tinker Bell and the Great Fairy Rescue,2010,https://www.imdb.com/title/tt1216515/
